need_id,category,fold
N_8bf2a883faf56098b8b0993d,Помощь на дому,1
N_8bf9d5afdb10df5384dc7b67,IT-разработка и цифровые сервисы,0
N_8c1b8aef8275edfafd4d886d,Юриспруденция,0
N_8c81639e547b836a0d54ed2d,"Маркетинг (SMM, реклама, продвижение)",4
N_8cd1e746b2447d6eb89f25cd,Помощь на дому,2
N_8cda0954cd24015c30f63af5,Дизайн,3
N_8ced7337827511844db87a73,IT-разработка и цифровые сервисы,2
N_8d68e16d3b8c78ad260b69fc,Дизайн,3
N_8d7e74dfb201fca1a3118ac4,"Маркетинг (SMM, реклама, продвижение)",2
N_8dd1ac39cd20c26974a7eacd,Дизайн,4
N_8e4408cc2d37b84ae84fb320,"Маркетинг (SMM, реклама, продвижение)",4
N_8e6319efea93d41bbda93126,Дизайн,3
N_8eb2a3c6bbbe527484ab21b0,Дизайн,3
N_8ed8e1ddc8080d81b674da05,Строительство и ремонт,0
N_8f3d3ed4ed6abcf65d2a41f2,Дизайн,3
N_8f825fca7d526282997ee7e8,IT-разработка и цифровые сервисы,0
N_8fb16dad3630003d3d77c4aa,IT-разработка и цифровые сервисы,2
N_8fb6a77e8c918b8a61e9f550,Копирайтинг и редакция текста,2
N_8ff5dd9680324ebe5493ed38,Дизайн,1
N_901e7c00e3146d7e9b3747b0,IT-разработка и цифровые сервисы,3
N_906624adbb34a0631f9a6495,"Маркетинг (SMM, реклама, продвижение)",3
N_90716f17982949982656ca5d,Дизайн,4
N_907321fbc97046f1616b6166,Дизайн,3
N_907f9dd36ab371e62927acea,"Маркетинг (SMM, реклама, продвижение)",0
N_90a45b87efe72fc9cc19a0f9,"Маркетинг (SMM, реклама, продвижение)",0
N_90e47302e9290b57ad07284f,"Фото и видеосъемка, монтаж",3
N_9120b6dfa3b33e9391944615,Строительство и ремонт,2
N_9154769dabb1da4e7468a9a6,Переводы,2
N_928ffbeb936e007868e02269,Дизайн,3
N_931ae8d363c3f03d2208b8c9,Копирайтинг и редакция текста,0
N_93808ab7f656da1a318b61c4,Дизайн,0
N_93ba09d7c19c760c868e93a4,"Маркетинг (SMM, реклама, продвижение)",1
N_93d41571c537789a3fab6fcc,Юриспруденция,2
N_9452ce9ec5f51efb858993e1,Юриспруденция,1
N_94607d2fbf0fead9b2e01f55,Дизайн,0
N_948964258c03106737b8a374,Дизайн,2
N_94c9639700cb224eec548325,Дизайн,4
N_95b089511aaf6550b0d8a134,Дизайн,2
N_96520fc8ba75133ab66965fe,Дизайн,4
N_9696806dd4bad427d3577149,Копирайтинг и редакция текста,0
N_96ba7fe1e95b15e5d4262ee9,Копирайтинг и редакция текста,3
N_97ac69196cbb69f7f34ff805,Копирайтинг и редакция текста,0
N_98a21ba9f530d9031da7beda,Юриспруденция,0
N_98b0e7770815c8fc7ed5ccc3,IT-разработка и цифровые сервисы,2
N_98d635007fb32fd7e5a51ba7,Дизайн,3
N_98e4f32e54c5f8adf110f057,IT-разработка и цифровые сервисы,4
N_98e9c79e69252ee4b72c673e,Строительство и ремонт,4
N_98ee56d5077caf27cf577a75,Копирайтинг и редакция текста,3
N_98fd24f095d3e719c77a79ec,IT-разработка и цифровые сервисы,2
N_991defaae9a7ef675db43f37,Переводы,1
N_99602653fdb374866fa1c4e0,IT-разработка и цифровые сервисы,0
N_997a5e9ffd5b984b49ac29b9,Переводы,3
N_9bfa3e411c6b4f626d898606,Копирайтинг и редакция текста,1
N_9c9ec091be99fbe8646e7eb6,Юриспруденция,1
N_9d028fd38e01243b02541dbf,Копирайтинг и редакция текста,0
N_9d46a663ab9435c61311e742,Копирайтинг и редакция текста,2
N_9d9174cac193603b27d6b3ea,Копирайтинг и редакция текста,0
N_9d98d1742f59b20abe674349,Дизайн,0
N_9db6fa950e60e9c9183df9ef,Дизайн,4
N_9dff63a8495bb391c388d921,Дизайн,3
N_9f19fccb820776c4dbc99aa1,"Маркетинг (SMM, реклама, продвижение)",4
N_a00829642e8ec3e95acb4219,Дизайн,4
N_a031039d37e7fe1ad77fc525,IT-разработка и цифровые сервисы,2
N_a0894f0946df28b2aa0870d9,Дизайн,0
N_a0f6b96a747e11538e157a9d,IT-разработка и цифровые сервисы,1
N_a132c53de19d20ea1a6cc10d,"Маркетинг (SMM, реклама, продвижение)",0
N_a1ef39c75065b5e173493ad8,Дизайн,1
N_a25a991303a89caf6c51488b,Дизайн,1
N_a28328e5058309537b116e06,Дизайн,4
N_a283a324c850475e7012eff5,Дизайн,3
N_a29f93549de9dcaf97f6be75,IT-разработка и цифровые сервисы,4
N_a2d1ef7bad385661de212c34,Юриспруденция,0
N_a3758621758aab82ba3bf7f3,Дизайн,0
N_a4b10ed2340fd409ca70d37f,Дизайн,2
N_a4b4d02108b64fbaeb2e344b,Дизайн,1
N_a564fe91f4b6c8d17834aa4f,"Логистика, перевозки",4
N_a5fb00988e6c20b7cc8d3a0e,Дизайн,2
N_a640641f0fd81c14a566a362,Дизайн,4
N_a6bd531b04bd3d6e16c1664d,Строительство и ремонт,0
N_a6dde3ebed5d4d3758802d70,Дизайн,0
N_a6e546de19dc6b0ef156e5fc,Копирайтинг и редакция текста,4
N_a6fda2ac076d6ca7aa00a0de,Дизайн,0
N_a75b4889ed74a9a1523f96c5,Юриспруденция,2
N_a76f2d2cc8f5386c9b1fb809,Копирайтинг и редакция текста,4
N_a800a4d724543a9f2a592eb6,Юриспруденция,0
N_a8140dc9cf0b5ea08ba62a03,Переводы,1
N_a8497bf7b7a36a058f5bbd46,IT-разработка и цифровые сервисы,3
N_a86da194c63c881fe6393b93,Копирайтинг и редакция текста,3
N_a889a6dc41f6e46f12aa99ab,IT-разработка и цифровые сервисы,4
N_a8bda74cc041a179bdccff66,Копирайтинг и редакция текста,1
N_a8f78fb052115593a6fb442b,Юриспруденция,3
N_a90e3461b2a99680407e4e4c,Копирайтинг и редакция текста,4
N_a97c1a63759e4b37a321feeb,"Маркетинг (SMM, реклама, продвижение)",1
N_a9c9b83aa88ddce7879238a3,Дизайн,4
N_aa570c3c88bcca3d9581a381,IT-разработка и цифровые сервисы,4
N_aa7d72a47ac65a50f29d7264,Дизайн,2
N_aa8ab9f14fbd6947d5a2d917,Юриспруденция,0
N_aac55d601e8d01cda0e70573,Юриспруденция,4
N_ab6e9b050f9cdac47aef939a,Дизайн,4
N_abed26f0283ed4d2d210bcb7,Строительство и ремонт,1
N_ac01447765f87e4ad94687dd,Копирайтинг и редакция текста,2
N_acc1d0471a31c2829d6b9eaf,Дизайн,2
N_acc2ec6c5e8fe15776a535ac,Дизайн,0
N_acd35e40a12662dd950ddfb4,Юриспруденция,3
N_ad7d1d47938b622390e84370,Юриспруденция,3
N_aed26649e2563e2f02d38769,Дизайн,4
N_aed5a48a80a948434122c418,Юриспруденция,2
N_af1579cb951cf06771bff65d,Дизайн,1
N_af1f5c85dd56305d6e5fe658,IT-разработка и цифровые сервисы,2
N_af44c939a301a03916c18381,Юриспруденция,0
N_b00d56f91a737946638bf61f,Дизайн,2
N_b0137a80dcfbb0bc488413db,Дизайн,0
N_b04302bd0e4c7c66e9a2362c,IT-разработка и цифровые сервисы,3
N_b096e0b8ebc90c69b2d74d5f,Дизайн,2
N_b0fa856db3c122b7587855d8,Юриспруденция,3
N_b1147dc0153b7ba04d39d3fc,Юриспруденция,0
N_b11625c37466001fd447fa54,Юриспруденция,2
N_b11c9369832f4532c262dcfb,Дизайн,0
N_b14172b4649ed6eb9b3d6a9c,Юриспруденция,3
N_b1fb6730539fdf8644d00098,IT-разработка и цифровые сервисы,1
N_b1fe4d5a10ad4d2b2cd6c950,Дизайн,3
N_b243356573ca5d214635253f,Копирайтинг и редакция текста,4
N_b321954c753c0d8bfe3cb68d,"Маркетинг (SMM, реклама, продвижение)",3
N_b41d5e55654c07fa76d6161b,Копирайтинг и редакция текста,1
N_b432eedb688ba4b9d1102a1c,Переводы,4
N_b44234ee1340289bafc414e5,IT-разработка и цифровые сервисы,4
N_b44a21cfbf0941cacd4402e7,Юриспруденция,2
N_b497570ed2ccd6fc153a2148,Дизайн,0
N_b49d016f5779586585730e21,"Маркетинг (SMM, реклама, продвижение)",2
N_b4a8f571007a0055c12023e9,Копирайтинг и редакция текста,1
N_b4d5c47cb43a4e89394e6888,Копирайтинг и редакция текста,3
N_b52129fd53c55403fb141119,IT-разработка и цифровые сервисы,2
N_b5b1b5966c8f353f3fb91f18,Дизайн,1
N_b5dd75283a5c0bd65fd65f30,IT-разработка и цифровые сервисы,4
N_b5f584729adb5d1b306197a8,Дизайн,2
N_b60fd7d2ead97594ed37443b,Копирайтинг и редакция текста,0
N_b61627bad67230ea00ee0e6d,IT-разработка и цифровые сервисы,3
N_b645bf7b81213a92996945aa,Копирайтинг и редакция текста,1
N_b78f64d54be64004611576c3,Дизайн,0
N_b7966b39a89f119f38816017,Копирайтинг и редакция текста,2
N_b7ee58b0dd6f8fe402dd4ce0,Дизайн,2
N_b803a4b40e465c225a3808fc,Дизайн,1
N_b80ff95f0c3f2d71afb97915,Копирайтинг и редакция текста,0
N_b8bc2e5a972912ee53653857,Копирайтинг и редакция текста,3
N_b8f9f29df9fe1ca227ecefa3,Дизайн,4
N_b922d8e196df2931eb587b6d,"Маркетинг (SMM, реклама, продвижение)",2
N_b92d4ba80075f2411925ffc9,"Маркетинг (SMM, реклама, продвижение)",0
N_b98deacbde808de6c7e107e4,Дизайн,4
N_b9dd2104b8a80ccded4e4399,Копирайтинг и редакция текста,3
N_bb19791bde23a44aa62e058f,Копирайтинг и редакция текста,3
N_bb5e6d2becd8677fb865bc46,Дизайн,4
N_bb88188afd155eae22e2787e,Копирайтинг и редакция текста,0
N_bbc5eb7d47688b4132a0ce00,IT-разработка и цифровые сервисы,0
N_bbf01f281e0820329acf95fa,IT-разработка и цифровые сервисы,2
N_bc2cbb011c4ab30aa6ce3742,"Маркетинг (SMM, реклама, продвижение)",1
N_bc421931ae6ce0fa16b443dc,IT-разработка и цифровые сервисы,1
N_bc51e80072ffcc34a3511e4e,Переводы,3
N_bc611eb93a72deda2ed1763a,Юриспруденция,2
N_bcf7320c0d6f77229cb5ebdf,Копирайтинг и редакция текста,4
N_be0f5f661212755bd8e483a5,IT-разработка и цифровые сервисы,0
N_be301579fb8c9f3f4dc20442,Дизайн,1
N_be63b6db5d455fde5a9d0835,IT-разработка и цифровые сервисы,3
N_bec75410682ab66cfdb6cfa3,"Логистика, перевозки",0
N_bef5638dcc0ab179f398bb61,Дизайн,1
N_bf114506b546a1a446bb377c,"Маркетинг (SMM, реклама, продвижение)",1
N_bf49da9ea5cb59928fbb26ce,IT-разработка и цифровые сервисы,1
N_bf87c824a2e55092991873eb,Дизайн,1
N_bf9656a85552afa6f08b0749,Дизайн,1
N_c094ba1c2141e6e8e177b4e8,Юриспруденция,1
N_c0d569f8212ae2107ed72c37,Дизайн,4
N_c1095db87a45d790d23b2f0e,Копирайтинг и редакция текста,1
N_c113e82914239fc535660d44,IT-разработка и цифровые сервисы,2
N_c11b1f80d2f9e64aaca60a0d,Строительство и ремонт,2
N_c282ccde1b46ab69576c5a9f,Дизайн,0
N_c2924066e653b7292cfb4c39,Дизайн,3
N_c2d763b34523fc8532b0fe02,Помощь на дому,4
N_c2ea477dc46362d1815b4351,Дизайн,4
N_c39dba54c7c8e2d35424296d,Дизайн,4
N_c43325f67ac81335940ae959,Дизайн,1
N_c433b42838e5feb9166f9012,Помощь на дому,1
N_c4346e7c14608b99723deaaa,Дизайн,4
N_c43769d03fcfbd00c2639bce,IT-разработка и цифровые сервисы,0
N_c4a542ddeb085ade6c8fdc8e,Копирайтинг и редакция текста,0
N_c4b906d8cf0885d3a3d04397,IT-разработка и цифровые сервисы,3
N_c4bbd1eb20fe50e6366b6032,"Маркетинг (SMM, реклама, продвижение)",2
N_c4d84ce59acadfa3942b7db5,Дизайн,1
N_c53e7b468af72d9212d2dea1,Дизайн,2
N_c5a07232d8bb74385bcef1a3,Копирайтинг и редакция текста,4
N_c5d7f6d272b31fc44a5becd5,Дизайн,2
N_c5f40adbf861e68605129f48,"Маркетинг (SMM, реклама, продвижение)",4
N_c611aea5110debcbb05449ba,Дизайн,3
N_c6223d6975644fb44144a1c4,IT-разработка и цифровые сервисы,0
N_c65854f497b578f5fc030518,Переводы,3
N_c68fb1182d9a16cd40ccd8e1,Помощь на дому,2
N_c6e3749427e3440b2798adc6,Переводы,4
N_c7206938f201716e0298dd01,Дизайн,3
N_c73a75cb6c1c642d13bbb94b,Дизайн,3
N_c789bc9d423e6cfd3917ad53,Копирайтинг и редакция текста,0
N_c7cc167016b654ace83c775d,Дизайн,3
N_c837f6a4964a775ff427bf06,Переводы,0
N_c986abeca0632ed01a8c21d2,Юриспруденция,3
N_c9b1ca1ee5a9112cb2bdf523,Копирайтинг и редакция текста,0
N_ca032fa879ecd538d564aae0,Юриспруденция,4
N_ca07a7b4570089b410014cb1,Дизайн,4
N_ca2b2e8c807c110d20666c35,IT-разработка и цифровые сервисы,4
N_ca7a532676637d9f41b7defc,Дизайн,1
N_ca87bdd49cc7465e54e5ca7a,IT-разработка и цифровые сервисы,4
N_cad3ff96088efc495ba7c299,Юриспруденция,2
N_caf91dec14b6359e912cd95d,Копирайтинг и редакция текста,3
N_cb15bb7b25352a091b5e7f3e,"Маркетинг (SMM, реклама, продвижение)",3
N_cb30f8e9828093210729b867,Дизайн,2
N_cb3d84b40cac1696ce7b10d5,Копирайтинг и редакция текста,0
N_cb5f7a2c4a1b9a4de3f847ce,IT-разработка и цифровые сервисы,1
N_cbeeed343ad90914d87cec53,Юриспруденция,2
N_cc00d24f2e6e1f2b6fbdb0a4,"Фото и видеосъемка, монтаж",4
N_cc16bf36c0fae257f6e78b10,IT-разработка и цифровые сервисы,1
N_cd36196a9deb32e208a175a5,Копирайтинг и редакция текста,2
N_cd4e516fa4cab0585b447f7d,Копирайтинг и редакция текста,2
N_cdd311da276be520fa9e3993,Копирайтинг и редакция текста,4
N_cde4dd8f72205114b11702ee,IT-разработка и цифровые сервисы,1
N_ce1ed5231c99d176b602ed37,Дизайн,4
N_ce5ebebc527b69f3d60961e9,Дизайн,0
N_ce7979c9de4449bbbc955a9b,IT-разработка и цифровые сервисы,3
N_cead4bc17a52f21ccf76ed9b,Дизайн,1
N_cec633755f58e53792054206,Дизайн,2
N_cf2529fa4147cb9225b74ee6,"Маркетинг (SMM, реклама, продвижение)",0
N_cf2c122a5c2dff0e31b3a313,"Фото и видеосъемка, монтаж",2
N_cf9d0a0444bcb1a0a641fff5,Переводы,1
N_cf9ec46762739d2fc1de9098,Помощь на дому,4
N_cfba65b247e1162b9e4ccc97,Копирайтинг и редакция текста,3
N_d00675fe3a20e427898c31d6,IT-разработка и цифровые сервисы,4
N_d03921392e5f29b947a869eb,IT-разработка и цифровые сервисы,1
N_d057bb7aed0d800c004916f0,Копирайтинг и редакция текста,0
N_d0af39639fe41652bb6b006d,IT-разработка и цифровые сервисы,0
N_d0ca16d345e1415e4f1b04d5,Копирайтинг и редакция текста,4
N_d0e3fe9e7157a2fc7b852a1f,Дизайн,1
N_d12b39fb7117a60a1f60cf4a,"Маркетинг (SMM, реклама, продвижение)",3
N_d16570f2e04431d3d73ad53c,Дизайн,1
N_d1922b9b534fcade0f61e43f,Дизайн,2
N_d1be44a933175744fda5e4f6,Копирайтинг и редакция текста,0
N_d207f842a523ec49ea9e1f3a,Дизайн,3
N_d21a68858401558f3fb97b9e,Дизайн,1
N_d27732417cfc2e07e607b51a,Дизайн,1
N_d2b2b16a93f12202b5ba9d9a,IT-разработка и цифровые сервисы,0
N_d2fb0a9395b766e443eaede6,Дизайн,1
N_d344550f9b4f8f68a82c13fa,Дизайн,0
N_d35bcda51be55223afbe45ff,Дизайн,2
N_d47f65972848e5b1be88ab5d,Дизайн,2
N_d4d16194eb8c7589b0c94af5,Дизайн,4
N_d4ee321c67339f2fd3681716,IT-разработка и цифровые сервисы,0
N_d54250987047fc6de28066b0,"Логистика, перевозки",4
N_d54c3bc52ce37f36b442428c,"Маркетинг (SMM, реклама, продвижение)",4
N_d559bb4304d802a44db9909d,Дизайн,2
N_d5f5814f4a531f5530ce308d,Дизайн,3
N_d5fd3a9d7c512f9cd5715490,IT-разработка и цифровые сервисы,1
N_d66f29802a57e4d4dcea8abc,Дизайн,4
N_d6a432c5cae3d89b1761d429,Юриспруденция,1
N_d6fc0789a91ec894b81f3690,Дизайн,2
N_d701384f67e80aca9282dfac,Копирайтинг и редакция текста,0
N_d7b293dde3307f437cd86295,Дизайн,0
N_d81c245dd6d33021c7ea1aaf,Дизайн,0
N_d8223f262b07e57643f7910f,Строительство и ремонт,4
N_d834d0253f928133100e517f,Дизайн,2
N_d89d61af9cf51c393044b491,Переводы,1
N_d8b740b5e65c38169b9bb5d7,"Логистика, перевозки",2
N_d952c0af43f216d74dfe710d,"Фото и видеосъемка, монтаж",1
N_d96a2851ffa8d6fc5b600d86,Дизайн,4
N_d99c5917c49a05a2d27715f9,Юриспруденция,2
N_da24c7e6431426f508385a04,Дизайн,2
N_da916d4bfa07872e622e25bc,Дизайн,0
N_dae7f00c89e01e11dc0a0f50,Дизайн,0
N_db1418b2ee3bb0f8168c61b9,"Маркетинг (SMM, реклама, продвижение)",4
N_db174e0bcf5217726586e932,Дизайн,1
N_db4c1683cb4bb4fe6ff118dc,Копирайтинг и редакция текста,3
N_dc05b1533a6cf9ef1811c5e7,Дизайн,1
N_dc97cc4562dda7104602d852,Дизайн,2
N_dcc952bf69d7854a4e74efc1,IT-разработка и цифровые сервисы,1
N_dcfb48e85dc9ad07d8698117,Дизайн,1
N_ddb4011347a524bdf3516c5d,IT-разработка и цифровые сервисы,2
N_ddbbda617ddff11c756799bc,Юриспруденция,2
N_ddd190ebd611b20b26f28927,Дизайн,4
N_de633b156b956ef11b866962,Дизайн,1
N_de6b9ecd296ed58771eb438d,IT-разработка и цифровые сервисы,0
N_de97a0082111c7d7cf4301a8,Строительство и ремонт,1
N_df2f5feb1936d71cc6ba8a2a,Копирайтинг и редакция текста,0
N_df8f6ac5a773695498392013,Юриспруденция,0
N_e00022a56b28ab15a1839579,IT-разработка и цифровые сервисы,4
N_e073aa3512a559cf1792d0d2,Дизайн,1
N_e12e2217759484e433476e7b,IT-разработка и цифровые сервисы,1
N_e178210d90056ca52c584bf6,"Маркетинг (SMM, реклама, продвижение)",4
N_e1a9ce19542c8c46177ddbc8,Дизайн,0
N_e1ca479fe5ec272a1c36df93,Дизайн,1
N_e21084fe360a7dd82650567b,Дизайн,0
N_e23c15666393a83e532d542b,Копирайтинг и редакция текста,0
N_e23e7a4c4bac821a6a54078c,Помощь на дому,0
N_e27d2df16983388a39817832,Юриспруденция,2
N_e2cac23a1842c69b59e0c7b5,Юриспруденция,1
N_e2f1252642fa712a1a1b8643,IT-разработка и цифровые сервисы,1
N_e37b4faae9aa97e260d11c1b,Копирайтинг и редакция текста,2
N_e39bcdd233601078ab689067,IT-разработка и цифровые сервисы,3
N_e3babec7918747a79469ef5d,Строительство и ремонт,4
N_e3e2b1136d92c1b60c64c353,Дизайн,3
N_e412da003a4239d6ae5efe0f,Юриспруденция,4
N_e43b44637d2358c9a852951a,Копирайтинг и редакция текста,2
N_e471919c577c59e75d6dde16,Дизайн,0
N_e4f12fbf6637defdbdfc1166,IT-разработка и цифровые сервисы,3
N_e54a5d182fb42710c2f7ba08,Дизайн,2
N_e583de3dd7d385dad3c3a96f,"Маркетинг (SMM, реклама, продвижение)",3
N_e5934e833a0fc3befd1e5db1,Дизайн,3
N_e59fd4d37a91be761fb9808a,Юриспруденция,0
N_e5bf1c828baed285f4ff01a5,Дизайн,1
N_e5d1902fa89e1c37ace011bb,IT-разработка и цифровые сервисы,1
N_e5dba050fc659ab2254b39e5,Юриспруденция,0
N_e6339d39d5dc4b2d735ae0c5,Дизайн,0
N_e68ee06bbade0b630662f35a,Дизайн,2
N_e76228de58763f7927f1f5de,Дизайн,1
N_e78666e6d46cfb844eceab6b,Строительство и ремонт,1
N_e7d8a9345e9f8b29ca87ddaf,Копирайтинг и редакция текста,0
N_e7f3fe0df74fc2a9bb3285a2,Дизайн,2
N_e7f697db0ef2fcb526131578,IT-разработка и цифровые сервисы,0
N_e7fa4c21a85dc28556d31ec5,"Маркетинг (SMM, реклама, продвижение)",1
N_e825481477f65b8e0d4f1747,Копирайтинг и редакция текста,4
N_e83f4443c0bfc00e391bb0e9,Копирайтинг и редакция текста,0
N_e89446ee441f2f8718d54a0f,Дизайн,1
N_e8bb6e6b133a9bb3d048c77e,Помощь на дому,1
N_e8e6d8ae3088f124b7003256,"Фото и видеосъемка, монтаж",3
N_e91fa881034ad92294dd43bb,Копирайтинг и редакция текста,1
N_e99070687f969ebdf6301c61,Дизайн,1
N_ea507ab54c1ba1fa77aab034,Строительство и ремонт,2
N_ea571b5d19f6fba34442b97b,Копирайтинг и редакция текста,3
N_eac1992cf862c25256aca18c,Переводы,0
N_eacb86fa10b3e6f7ace37821,Дизайн,2
N_eb4bc545815fb7d47cfb8c19,Дизайн,0
N_ebe790cf0a5c2728d999cdb8,Юриспруденция,3
N_ec45d8072fd48433277a17b0,Дизайн,3
N_ec93411457db8982b163b629,Помощь на дому,1
N_ecd68b8dbdbe50236caaa9e0,"Маркетинг (SMM, реклама, продвижение)",3
N_ecdd64d9295bf30b5af347b4,Дизайн,1
N_ecfe354e7eb6ba2cc9899d78,Дизайн,2
N_ed2a6e44f0cfcdcf207cba97,IT-разработка и цифровые сервисы,2
N_ed741ebc4dc2c44590df2cba,Дизайн,2
N_edb7025bfddc9fa62bb80c8c,"Маркетинг (SMM, реклама, продвижение)",3
N_edf9d9de86d9d65a6d5aa629,Дизайн,1
N_ee3b17dedee7e69070e1a129,Юриспруденция,2
N_ee45acd4959480740f0a27e1,Юриспруденция,1
N_ee8d9e1c96863cdd1379b50f,Переводы,0
N_ef00e002750549b41ae69710,"Маркетинг (SMM, реклама, продвижение)",3
N_ef1097c079ddea9cb28dc04b,IT-разработка и цифровые сервисы,1
N_ef271dcc026b7c877fa44cc5,Копирайтинг и редакция текста,2
N_ef73c8567afa40d9dc7169c1,Копирайтинг и редакция текста,1
N_ef96964d584d071a24f4e3e2,IT-разработка и цифровые сервисы,4
N_eff704fe4cba48652f9eac86,Копирайтинг и редакция текста,3
N_f036bee68785a3a9cbd79269,"Логистика, перевозки",0
N_f084052ada5911e18c7c8791,Дизайн,1
N_f08969ef79bfca47dad6b8fe,"Маркетинг (SMM, реклама, продвижение)",0
N_f09a2c476cd222b127659543,Дизайн,0
N_f140830262292f22a921eb60,Дизайн,4
N_f1c98e1ccb1ba8fcdac916ab,Помощь на дому,0
N_f2365df8c9e0e164bcfe642f,Дизайн,1
N_f2814b07a5f0fb9e45108bb0,"Маркетинг (SMM, реклама, продвижение)",4
N_f2a1dc8a0580f0f2ffa9f808,Дизайн,0
N_f301746ed6f57243a972d695,Строительство и ремонт,3
N_f42a9d929a5160188822eeb1,Дизайн,0
N_f46fe1b565bd7355672500e2,Юриспруденция,1
N_f485865f4fffdfb546b7dcd9,Дизайн,4
N_f49c78f3b27ae6de250373aa,Юриспруденция,2
N_f4b7dce94ecdc9d50379b3af,"Маркетинг (SMM, реклама, продвижение)",2
N_f4bc9f0c11d3b2b89b95fe4a,Дизайн,2
N_f4daa72de57059222dbaf24b,Копирайтинг и редакция текста,2
N_f548047e6e321eafa8f54286,Дизайн,0
N_f56814d60f28409ce77c91e3,Помощь на дому,3
N_f602a8c9cc48340edd54bb8e,"Логистика, перевозки",1
N_f6fd32ea88440a9b00852563,IT-разработка и цифровые сервисы,3
N_f736b2786a4ba70e69b82c54,Дизайн,4
N_f76e0649dc9ebf84bdd494a9,Дизайн,2
N_f772c7110ea8dd9cd46caf39,Копирайтинг и редакция текста,1
N_f77f81216751d5dc5a443ea2,Юриспруденция,1
N_f7ab27129509b6ae348b1482,"Маркетинг (SMM, реклама, продвижение)",0
N_f81739eead658a37ccdfbd4d,Дизайн,2
N_f8865b66aaea796680aa32f9,Дизайн,2
N_f9368eab3e465b4371dfd009,Копирайтинг и редакция текста,2
N_f94e81d7cdc0019e8238aa03,Копирайтинг и редакция текста,2
N_f9c90cb828072571f590c182,Дизайн,3
N_f9f593570a72b87ca7a74dca,Юриспруденция,2
N_fa7f77e905a0c0a9d74d7ba3,Дизайн,1
N_fab27b26823761ffa3a95dbc,Строительство и ремонт,1
N_fad0afa68525f0c4285066b1,IT-разработка и цифровые сервисы,4
N_fb2a2bb88f422e802bd7ed64,Дизайн,3
N_fbb6d17fa872859bebbb770e,"Логистика, перевозки",1
N_fbc7275b02f309c46890ba7c,Дизайн,3
N_fbd5610076cba3a25757395f,Переводы,0
N_fc0a434fed830f3eb056deda,Юриспруденция,1
N_fc1cc9755f3093dd9b98f3a3,IT-разработка и цифровые сервисы,4
N_fc2a9c18b8826ecec3aef840,Дизайн,0
N_fd237cc8328f26e9fc117215,Дизайн,4
N_fd3675c74842cde1e89512a9,Дизайн,3
N_fd830ff75e6f3cbdbc84fa37,"Маркетинг (SMM, реклама, продвижение)",2
N_fe40da7ff4a9a9cb028a3dc6,Копирайтинг и редакция текста,1
N_fe9d66806b32460fcda7420f,IT-разработка и цифровые сервисы,0
N_fec51fd020db780cdf1eff54,Дизайн,1
N_ff0e3492d6a9b97415b4f31a,"Фото и видеосъемка, монтаж",0
N_ff2343aba53f125c3e38b50f,Копирайтинг и редакция текста,1
N_ff37ec3820a661babc5e9a30,IT-разработка и цифровые сервисы,0
N_ff89e8a09fe932f158a883ca,Дизайн,3
N_ff8d2d0f7e70ad01b2108fee,"Маркетинг (SMM, реклама, продвижение)",0
N_ffaaa8db28027b900464221d,Помощь на дому,0
N_ffe34966e9ba773714bb4e0a,Дизайн,0
