candidate_id,category,subcategory,task_summary,skills
C_d5083c2d04493b113b8cdb42,,,"{
  ""category"": ""ИТ-техническая поддержка"",
  ""subcategory"": ""Ремонт и диагностика ПК"",
  ""skills"": [
    ""диагностика компьютеров"",
    ""переустановка ОС"",
    ""настройка ПО"",
    ""чистка техники"",
    ""обслуживание термоинтерф",
C_d67531e91aa78e81b06b559b,Маркетинг,SMM и социальные медиа,,"['анализ аудитории', 'стратегическое планирование', 'tworship', 'конкурентный анализ', 'создание контента']"
C_e44358d5c14967c74972f0df,Строительство,Ремонт и отделка,,"['обучение ремонту', 'поверхности', 'материалы для ремонта']"
C_45d3560dee23a007737b8fce,Медицина,Косметология,,"['биоревитализация', 'мезотерапия', 'трихология', 'обучение']"
C_291ae1a32ac594a8b6f08f74,Переводческие услуги,Лингвистическое сопровождение,,"['перевод текстов', 'юридические переводы', 'деловые переводы']"
C_0b0ae5d7ed1eb2fbd8132dcb,Фотография,Портретная фотография,,"['женские портреты', 'съёмка беременных', 'естественнаяphotography', 'цветокоррекция', 'обработка фото']"
C_49be018c3d8e5b7b6fdab9ef,,,"{
  ""category"": ""Дизайн"",
  ""subcategory"": ""Графический дизайн"",
  ""skills"": [
    ""цифровые приглашения"",
    ""PDF-открытки"",
    ""интерактивные файлы"",
    ""веб-страницы"",
    ""индивидуальный дизайн"",
    ""настраиваемые цветовые палит",
C_131b622387b69a088a6706f2,Видеопроизводство,Монтаж видео,,"['монтаж видео', 'рекламные ролики', 'видеосторис', 'интеграция объектов']"
C_14df01bf31603fe09dda0183,Кулинария,Бариста и кофейная терапия,,"['приготовление кофе', 'работа с кофемашинами', 'обработка молока', 'курсы обучения']"
C_0d02dbf49af4d62e18ffb9aa,Фотография,Модельнаяphotography,,"['съёмка людей', 'обработка фотографий', 'подбор ракурсов']"
C_17c9627865a14b2671826fa7,Дизайн,Графический дизайн,,"['калиграфия', 'макетирование', 'логотипы', 'гравировка']"
C_87ed2e23af760250ba03a083,Бухгалтерские услуги,Налоговый учет,,"['заполнение деклараций', 'налоговые вычеты', 'продажа недвижимости']"
C_2612f90959f8c0643bd984a9,IT-технологии,Поддержка бизнес-систем,,"['маркировка товаров', 'ЭДО', 'обучение пользователей', 'настройка программного обеспечения', 'передача данных']"
C_487ffc1fa3dd66d5bbe97baa,,,"{
  ""category"": ""IT-разработка"",
  ""subcategory"": ""Автоматизация процессов и CRM"",
  ""skills"": [
    ""автоматизация бизнес-процессов"",
    ""CRM-системы"",
    ""Битрикс24"",
    ""1С"",
    ""MS SQL Server"",
    ""интеграция систем"",",
C_7fd97a3c73147cc6561c443d,Маркетинг,Контент-маркетинг,,"['написание текстов', 'маркетинговые тексты', 'тексты для соцсетей']"
C_5d809263e4d186873543de79,Медиа-продакшн,Видеомонтаж,,"['видеопоздравления', 'монтаж видео', 'работа с фото', 'музыкальное сопровождение']"
C_af86afc09723890b48d9994e,IT-разработка,Веб-разработка,,"['Tilda', 'создание сайтов', 'одностраничные сайты']"
C_742aa83b033d99c8853e4827,IT-поддержка,Обслуживание ПК и серверов,,"['настройка компьютеров', 'установка ОС', 'чистка систем охлаждения', 'восстановление данных']"
C_c6ea283460970edf684a0a47,Финансы,Кредитование,,"['работа с кредитными картами', 'условия льготного периода', 'предоставление информации']"
C_bc38d40c8e32821a9437a33d,Видеопроизводство,Монтаж и съемка,,"['съемка мероприятий', 'монтаж видео', 'выезд на локацию', 'стилизация под кинематограф']"
C_6dc14fe7340ca627aa7f1612,Маркетинг,Цифровое маркетинг,,"['SEO', 'онлайн-реклама', 'оптимизация сайтов', 'контент-маркетинг', 'CRM-integration']"
C_7a6eb460de78a0bfa9575b55,Фотография,Портретная съемка,,"['портретная съемка', 'съемка с близкими', 'фотосессии дома', 'съемка с животными']"
C_0ae775c646e87d64d17e3e45,Переводчичество,Языковые услуги,,"['перевод немецкого языка', 'медицинский перевод', 'юридический перевод']"
C_836aea76a6fd6943b75ea74a,Юридические услуги,Договорное право,,"['проверка договоров', 'анализ рисков', 'выявление неточностей', 'правовая консультация']"
C_ca9073cd79523baeaeca2c73,Дизайн,3D-дизайн,,"['3D-визуализация', 'работа с фотографиями', 'AI-технологии', 'дизайн открыток']"
C_b01e972228c79e4b20428312,Фотография,Семейная и портретная фотография,,"['детская фотография', 'беременность', 'события', 'съемка на открытом воздухе', 'съемка в студии']"
C_7e1ef63df61ce2a29c829088,Красота и здоровье,Маникюр и макияж,,"['наращивание ресниц', 'обучение мастерам', 'практические занятия']"
C_4d324295aeefcd496342338c,Написание текстов,,,"['написание текстов', 'конспекты', 'переводы']"
C_f7198800d06f1c729fc2b485,Дизайн,3D-визуализация,,"['3D Max', 'Corona', 'визуализация интерьеров', 'рендеринг', 'техническое задание']"
C_4c656997627abf5a509f3830,,,"{
  ""category"": ""Юридические услуги"",
  ""subcategory"": ""Корпоративное право"",
  ""skills"": [
    ""корпоративные споры"",
    ""юридическое сопровождение организаций"",
    ""арбитражные суды"",
    ""взыскание судебных расходов"",
    ""анализ дел",
C_bdfcf373d13cc92ff3763104,Бухгалтерские услуги,Подготовка отчетности,,"['заполнение деклараций', 'налоговая отчетность', 'доставка документов']"
C_4b4a1ab77af2ed7900da6ee6,Красота и здоровье,Макияж,,"['перманентный макияж', 'обучение', 'теоретическая подготовка', 'практическая подготовка']"
C_d715472b24336f208343d16f,Анимация и мультимедиа,Анимация,,"['анимация мультфильмов', 'разработка анимационных роликов', 'сценарий', 'рекламные видео']"
C_bcb2c09b6a5e65f2fb2ce1a1,Дизайн,Графический дизайн,,"['анализ рынка', 'выбор палитры', 'печатные материалы', 'нейросети', 'современные тенденции']"
C_695beb69c5cfd9b1a417897d,Дизайн,Графический дизайн,,"['нейросети', 'дизайн брендов', 'логотипы', 'фирменный стиль', 'рекламные кампании']"
C_2ba0e2b95796f0acdecddcc0,Искусство и культура,Художественная деятельность,,"['живопись', 'иллюстрация', 'обучение рисованию', 'техники рисования', 'создание произведений искусства']"
C_2dd0b9498fec61bb5541a724,Здоровье и фитнес,Массаж и реабилитация,,"['биоэнергетический массаж', 'обучение', 'сертификация', 'онлайн-курсы']"
C_efb8bf689b9ce1042819232d,,,"{
  ""category"": ""Бухгалтерский учет"",
  ""subcategory"": ""Бухгалтерское сопровождение"",
  ""skills"": [
    ""подготовка налоговых деклараций"",
    ""консультации по налогообложению"",
    ""сдача отчетности"",
    ""организационное бух",
C_6e0029d3a78239b684f82663,IT-разработка,Веб-верстка,,"['HTML', 'CSS', 'SCSS', 'JavaScript', 'БЭМ', 'верстка по макетам']"
C_c19fa30754423169d86779da,Маркетинг,Видеомаркетинг,,"['съёмка видео', 'монтаж видео', 'цветокоррекция', 'добавление музыки', 'создание контента для социальных сетей']"
C_e929f51208cfefdd668b3ca4,Маркетинг,Реклама,,"['рекламные кампании', 'работа с блогерами', 'аналитика', 'стратегическое планирование', 'подбор контента']"
C_18ee00e2b3cbf829cbdf1f59,Маркетинг,Событийное планирование,,"['организация свадеб', 'координация мероприятий', 'взаимодействие с подрядчиками', 'контроль логистики']"
C_f45707edfa861ebcbb40cb63,ИТ-поддержка,Матчинг и ремонт ПК,,"['ремонт компьютеров', 'установка операционных систем', 'удаление вирусов', 'техническая поддержка']"
C_41c4e5ac4a32de467414f25f,Строительство,Кровельные работы,,"['ремонт кровель', 'монтаж кровель', 'установка мембранных покрытий', 'гарантия на работы']"
C_de0b9fdb4ab0132cfbdb86f1,Маркетинг,Цифровое продвижение,,"['социальные сети', 'стратегии роста', 'контент-планирование', 'расширение охвата']"
C_64566e7bbdf3a399325ec49c,IT-поддержка,Настройка и обслуживание ПК,,"['настройка компьютеров', 'установка операционных систем', 'антивирусы', 'Wi-Fi и роутеры', 'оптимизация системы']"
C_5bacfa1c1f1db767ff342b95,Бизнес-услуги,Управление бизнесом,,"['регистрация бизнеса', 'открытие расчетных счетов', 'подключение платежных систем', 'сопровождение бизнеса']"
C_2502384313824db21c0f2f12,Маркетинг,SMM и контент-маркетинг,,"['SMM', 'контент-планирование', 'анализ аудитории', 'конкурентный анализ', 'написание постов']"
C_4b84ae802401ddc4a6bcf6d7,Финансовые услуги,Налоговое планирование,,"['налогообложение', 'вычеты', 'ипотека']"
C_abc47e59760702a0ff66e9ed,Бухгалтерские услуги,Учет и отчетность,,"['ведение учета', 'подготовка отчетности', 'работа с документацией']"
C_9846a74f3b480883d3bdc0b7,,,"{
  ""category"": ""Маркетинг"",
  ""subcategory"": ""Контекстная реклама и оптимизация сайтов"",
  ""skills"": [
    ""контекстная реклама"",
    ""аудит сайтов"",
    ""оптимизация трафика"",
    ""настройка рекламных кампаний"",
    ""ан",
C_903b09abf978a86f1ab2adaa,,,"{
  ""category"": ""Фотография"",
  ""subcategory"": ""Консультационная услуга по фотографии"",
  ""skills"": [
    ""репортажная съемка"",
    ""творческая съемка"",
    ""свадебная съемка"",
    ""концертная съемка"",
    ""подбор рек",
C_ab524170c27adab0de83367d,Красота и здоровье,Маникюр и макияж,,"['ламинирование ресниц', 'техника создания изгиба ресниц', 'взаимодействие с клиентами']"
C_c96886a630e2c19e8c987221,Красота и здоровье,Макияж и косметология,,"['перманентный макияж', 'брови', 'губы', 'века', 'обработка фото', 'ретушь']"
C_a269f46997a1e73497e66d70,Артистическое творчество,Компаниональное шоу,,"['выступления', 'песни', 'игры', 'интерактив']"
C_993f3a05341c572ea28df321,IT-разработка,Веб-разработка,,"['разработка сайтов', 'Битрикс', 'поддержка сайтов', 'цифровое продвижение']"
C_a36bc3837dca4ed8e8d68d21,Фотография,Художественнаяphotography,,"['художественные фотосессии', 'подбор локаций', 'реквизит', 'портреты']"
C_04cbc2b5882e0a308ed946e6,,,"{
  ""category"": ""ИТ-техническая поддержка"",
  ""subcategory"": ""Мастер по ремонту ПК"",
  ""skills"": [
    ""ремонт компьютеров"",
    ""диагностика техники"",
    ""установка ПО"",
    ""обслуживание ПК"",
    ""замена компонентов""
  ]",
C_6290b692fc8f9cc9c033803e,ИТ-поддержка,Ремонт цифровой техники,,"['ремонт компьютеров', 'ремонт ноутбуков', 'техническая поддержка']"
C_15b7af24a4546b8c6fc96a5b,,,"{
  ""category"": ""Фотография"",
  ""subcategory"": ""Свадебная и портретнаяphotография"",
  ""skills"": [
    ""портретная фотография"",
    ""событийная фотография"",
    ""тематическая фотография"",
    ""съёмка на фотоаппарат"",
    ""видеозапис",
C_4f70d1af3df24b7587b2596b,Карьерное консультирование,Коучинг,,"['карьерное консультирование', 'коучинг', 'психологическое развитие', 'создание резюме', 'анализ опыта работы']"
C_58d6e772bc76e6ee906762c3,,,"{
  ""category"": ""Косметология и парикмахерское дело"",
  ""subcategory"": ""Уход за волосами"",
  ""skills"": [
    ""кератиновое выпрямление"",
    ""ботокс для волос"",
    ""холодное восстановление"",
    ""пилинг кожи головы"",
    ""уход за различными",
C_69d924eb421884b42a1a71e8,,,"{
  ""category"": ""Дизайн"",
  ""subcategory"": ""Интерьерный дизайн"",
  ""skills"": [
    ""3D-визуализация"",
    ""чертежи для строителей"",
    ""авторский надзор"",
    ""комплектация чистовыми материалами"",
    ""сопровождение проекта""",
C_38cc3497e3c42086865044c9,Финансовый анализ,Налоговое планирование,,"['подготовка налоговых деклараций', 'системы налогообложения', 'регистрационные procedures']"
C_b4139d86c8bbd051f6d625ba,Видеография,Видеосъёмка и монтаж,,"['видеосъёмка', 'монтаж видео', 'дистанционная работа']"
C_963cff98c148846ea405ee6e,Дизайн,Мебельный дизайн,,"['разработка 3D-проектов', 'подбор фурнитуры', 'создание мебели', 'замеры', 'сборка мебели']"
C_905ec71c245d786723e93ea1,Услуги по уборке и обслуживанию,,,"['бытовые задачи', 'уборка', 'обслуживание пространства']"
C_68e4856936253dba0bcb51da,Фотография,Портретная и событийная фотография,,"['портретная съёмка', 'событийная съёмка', 'фотосессии', 'работа на природе']"
C_41e82957af424ba7ef87c62f,Маркетинг и реклама,Видеомаркетинг,,"['создание видео', 'продвижение ИИ-видео', 'социальные сети', ' reklama']"
C_f7f5eaeb389d3c0c511007dc,IT-разработка,Автоматизация процессов,,"['VBA', 'Excel', 'Word', 'PowerPoint', 'автоматизация рутинных задач']"
C_18703f1a30fc883b13ded9a3,Дизайн,Интерьерный дизайн,,"['проектирование интерьера', '3D-визуализация', 'подбор материалов', 'планировка помещений', 'анализ помещений']"
C_43589af65152fd01dbb5c95e,,,"{
  ""category"": ""Фитнес и спорт"",
  ""subcategory"": ""Коррекция осанки и тренер по фитнесу"",
  ""skills"": [
    ""кинезиотерапия"",
    ""индивидуальные программы тренировок"",
    ""коррекция опорно-двигательного аппарата"",
    """,
C_cb14d682a82ed89e5f0a1094,Маркетинг,Цифровой маркетинг,,"['стратегическое продвижение', 'контент-маркетинг', 'онлайн-проекты']"
C_8a8294d0e8093df84d78bc61,Маркетинг,Социальные медиа,,"['продвижение в соцсетях', 'видеомонтаж', 'tworсты', 'стратегическое планирование']"
C_5c745ba94892ff909eb483f4,Дизайн,Маркетинговый дизайн,,"['цифровые приглашения', 'разработка сайтов', 'PDF-форматы', 'дизайн мероприятий']"
C_681dfb83c70b089d27579b73,Логистика,Перевозка грузов,,"['перевозка грузов', 'транспортировка', 'расчёт стоимости']"
C_b7110a2c5c56bf12351c295b,IT-ремонт и обслуживание,Установка и ремонт ПК,,"['сборка ПК', 'ремонт ПК', 'диагностика ПК', 'установка ОС Windows']"
C_b389053c1ea451f2d4e781e0,Дизайн,Наружная реклама,,"['внешняя реклама', 'дизайн буквы', 'визуальное восприятие']"
C_a7101d3613bacdf7acbc2397,IT-техническая поддержка,Матч-поддержка ПК,,"['ремонт ПК', 'настройка ПК', 'выезд на дом', 'восстановление данных', 'чистка ПК']"
C_306e0e5cfcd5b5fdd98b842d,Бизнес-консалтинг,Подготовка документов,,"['подготовка бизнес-планов', 'государственные программы', 'структурирование документов']"
C_bc153b6ca84ee76e8967aabb,Дизайн,Рекламный дизайн,,"['виниловые наклейки', 'плоттерная резка', 'автомобильная реклама', 'бизнес-реклама', 'печатная техника']"
C_2363b7b2b1a8510c4a660339,Бухгалтерские услуги,Финансовый менеджмент,,"['ведение бухгалтерского учета', 'подготовка отчетности', 'оптимизация налогообложения', 'юридические услуги']"
C_0a9dc2aaec832bcbf2b2bf83,Образование,Индивидуальное обучение,,"['индивидуальные занятия', 'подготовка к ВПР', 'развитие навыков', 'учебный материал']"
C_abfb8060a8c25699adca1efe,Энергетика,Альтернативные источники энергии,,"['установка солнечных электростанций', 'поставка электроэнергии', 'электрические работы']"
C_485862623b10a788686d4913,,,"{
  ""category"": ""Маркетинг"",
  ""subcategory"": ""Онлайн-маркетинг"",
  ""skills"": [
    ""продвижение бизнеса"",
    ""настройка Яндекс Бизнес"",
    ""оптимизация карточек"",
    ""анализ конкурентов"",
    ""повышение конверсии""",
C_fadf14e4de3aa0b3bfd0fd89,,,"{
  ""category"": ""Бухгалтерские услуги"",
  ""subcategory"": ""Подготовка налоговых деклараций"",
  ""skills"": [
    ""подготовка 3-НДФЛ"",
    ""возврат подоходного налога"",
    ""консультация по налоговым вопросам"",
    ""сопровождение до",
C_5cf4760450272b3107626464,Красота и здоровье,Стрижка и уход за волосами,,"['наращивание волос', 'укладка волос', 'цветные прически']"
C_3a79bb67d40745c2c5618182,Видеопроизводство,Видеосъёмка,,"['съёмка мероприятий', 'торжественные события', 'документальные проекты']"
C_3ad73d43d35b7950315f318b,IT-поддержка,Установка и настройка ПО,,"['установка Windows', 'установка Microsoft Office', 'активация ОС', 'установка драйверов']"
C_5ed85be664eb6f16891dce7d,,,"{
  ""category"": ""Аудио- и видеообработка"",
  ""subcategory"": ""Расшифровка аудио- и видеоматериалов"",
  ""skills"": [
    ""расшифровка аудио"",
    ""расшифровка видео"",
    ""цифровое оформление текста"",
    ""под",
C_f6e3e3613f2564ba3749d404,Красота и здоровье,Макияж,,"['обучение макияжу', 'подбор косметики', 'уход за кожей']"
C_08947d2695b3a1a1358392c0,Маркетинг,Мероприятия и события,,"['организация мероприятий', 'юмористическая подача', 'tworческие проекты', 'аудио и медиа-продукция']"
C_92887d121cf4d4e53b85e1e5,IT-сервисы,Криптографические и цифровые подписи,,"['электронные подписи', 'УКЭП', 'выпуск цифровых сертификатов']"
C_19f65c0a8bcf08392b0bc347,Видеомонтаж,Креативный видеомонтаж,,"['вертикальные видео', 'монтаж под музыку', 'бэкстейджи', 'трогательные моменты', 'трендовые переходы']"
C_1de15b2e3030d5f6c98aa130,Художественное творчество,Карикатуристика и живопись,,"['портреты', 'художественные композиции', 'картины для интерьера']"
C_09fc9e8f197a58f39ba60512,IT-поддержка,Администрирование ИТ-инфраструктуры,,"['поддержка компьютеров', 'администрирование серверов', 'сетевое оборудование', 'программное обеспечение']"
C_82b1a1c0b72af622a7415fdf,Образование,Обучение персонала,,"['обучение персонала', 'переподготовка', 'категории водительских прав']"
C_0e3481ef092cdd38f451780d,Косметология и парикмахерское дело,Уход за волосами,,"['реконструкция волос', 'восстановление волос', 'выпрямление волос', 'уход за волосами']"
C_9b2ea1fe36ac5f4c25473fe9,IT-разработка,Веб-разработка,,"['создание сайтов', 'лендинги', 'корпоративные сайты']"
C_490ef98d05f0bb1ec255e4d7,Бухгалтерские услуги,Налоговая отчетность,,"['возврат НДФЛ', 'декларации', 'электронные версии', 'бумажные версии']"
C_d6a8470b8eb182d8ddd43d1a,Красота и здоровье,Стрижка и укладка волос,,"['косы', 'афрокудри', 'брейды', 'обучение плетению']"
C_41932badfa9cc2ac66863faa,IT-разработка,Автоматизация бизнес-процессов,,"['внедрение 1С', 'системный учёт', 'интеграция CRM', 'аудит', 'обучение']"
C_9f1b66a7f308547b90ec2159,Юридические услуги,Юридическое сопровождение,,"['юридические консультации', 'налоговые вопросы', 'финансовое консультирование']"
C_bfd9e0a1f2628ca6456deaf0,Информационные технологии,Обработка медиафайлов,,"['перенос данных', 'конвертация форматов', 'создание слайд-шоу']"
C_7c50a4c0129994bb41500b33,Дизайн,UX/UI-дизайн,,"['UX-дизайн', 'UI-дизайн', 'Figma', 'анализ задач', 'разработка пользовательских сценариев']"
C_0785f71b63ba08327d443662,Промышленное производство,Нанесение изображений,,"['3D наклейки', 'UV DTF', 'печати на различных материалах', 'износостойкость наклеек', 'доставка']"
C_ff222c3e3a6fc66b1e65a9f9,,,"{
  ""category"": ""Маркетинг"",
  ""subcategory"": ""Лanding page optimization"",
  ""skills"": [
    ""проектирование структуры"",
    ""адаптивная верстка"",
    ""SEO-оптимизация"",
    ""интеграция функциональных элементов"",
    ""аналитика""
  ]",
C_8f99fa0d00fb0ed5259fdccf,Красота и здоровье,Маникюр и макияж,,"['наращивание ресниц', 'ламинирование ресниц', 'обучение', 'курсы по маникюру']"
C_85510df144aa3626fa82e2f0,Переводческие услуги,Письменный перевод,,"['английский язык', 'немецкий язык', 'русский язык', 'бизнес-переводы']"
C_9214165436c98fc90d122767,Красота и здоровье,Косметология и обучение,,"['косметология', 'аппаратные методики', 'бизнес-подготовка']"
C_06c0b50348ad37cd3895d25e,,,"{
  ""category"": ""Маркетинг и реклама"",
  ""subcategory"": ""Рекламное планирование и управление проектами"",
  ""skills"": [
    ""медиапланирование"",
    ""стратегия рекламных кампаний"",
    ""наружная реклама"",
    ""Smart TV"",
    ""подбор формат",
C_137a2fc2aebf846fb6eafc97,Бизнес-аналитика,Управление данными,,"['Excel', 'Google Таблицы', 'автоматизация данных', 'управление учетом', 'финансовые отчеты']"
C_05466d507c9868691c136068,Красота и здоровье,Маникюр и педикюр,,"['наращивание ресниц', 'LED-технологии', 'маникюр', 'педикюр']"
C_d79d7e587ca23eb780254126,,,"{
  ""category"": ""Фотография"",
  ""subcategory"": ""Маркетинговаяphotography"",
  ""skills"": [
    ""торжественные мероприятия"",
    ""семейные фотосессии"",
    ""детские фотосессии"",
    ""предметная съёмка"",
    ""карточки товаров"",
    ""инф",
C_10b85e4c7d5f3c9b514b6a40,Маркетинг,Контент-маркетинг,,"['текстовый контент', 'отзывы', 'публикации', 'позиционирование']"
C_fd86c35719ea654e70d68aee,Дизайн,Интерьерный дизайн,,"['дизайн-проекты', 'планировка', '3D-визуализация', 'строительные чертежи', 'авторский надзор']"
C_162967ddbe96aa2e2c48c125,,,"{
  ""category"": ""Финансы и бухгалтерия"",
  ""subcategory"": ""Бухгалтерский учёт и анализ"",
  ""skills"": [
    ""подготовка отчётов"",
    ""оптимизация расходов"",
    ""сопровождение бизнеса на маркетплейсах"",
    ""выбор формы",
C_99a213fa7ca81e119d806065,,,"{
  ""category"": ""Юридические услуги"",
  ""subcategory"": ""Правовая поддержка в сфере административного и военного права"",
  ""skills"": [
    ""консультации по административному праву"",
    ""консультации по военному праву"",
    ""обжалование решений"",
    ""защита от штраф",
C_a91ad25b9b3e5ec36c64da79,Строительство,Мебельное производство,,"['изготовление кухонь', 'сборка мебели', 'индивидуальные проекты', '3D-визуализация']"
C_d20b6301ac5c275c658f3bb6,Маркетинг,Управление репутацией,,"['управление отзывами', 'повышение рейтинга', 'управление репутацией', 'обработка отрицательных отзывов']"
C_5d8aeaf62dbfc3cb600137a6,Образование и тренинги,Консалтинг и обучение,,"['обучение офисным программам', 'консультации', 'Excel', 'Word', 'PowerPoint']"
C_16a13650156ee112955f6736,,,"{
  ""category"": ""Видеопроизводство"",
  ""subcategory"": ""Съёмка и монтаж"",
  ""skills"": [
    ""съёмка мероприятий"",
    ""свадебные съёмки"",
    ""организация трансляций"",
    ""монтаж видео"",
    ""использование дрона",
C_9062d47c9b51ed6a0047db5b,Фотошоп и графика,Изображения и редактирование,,"['Лайтрум', 'мобильная обработка', 'консультации', 'видеоинструкции']"
C_362031abfcbc55fc3d7e8294,Красота и здоровье,Маникюр и педикюр,,"['наращивание ресниц', 'классическое наращивание', 'работа с объёмами', 'обучение']"
C_4406bc0fdaf9ea9acc7f8090,,,"{
  ""category"": ""Персонал и управление次级分类"": ""Подбор персонала"",
  ""skills"": [
    ""подбор персонала"",
    ""организация работы"",
    ""складские задачи"",
    ""строительные задачи"",
    ""офисные задачи""
  ]
}",
C_6deedf0d519f0c3c3e70333c,IT-разработка,Веб-разработка и数字营销,,"['создание сайтов', 'настройка контекстной рекламы', 'лендинги', 'SEO-оптимизация', 'Яндекс.Директ']"
C_08018ad9c4185c60393bc6fc,IT-разработка,Веб-разработка,,"['разработка сайтов', 'лендинги', 'онлайн-магазины', 'продающие тексты', 'анализ аудитории']"
C_bf3f2431f64ed3d9e89c3c05,,,"{
  ""category"": ""IT-разработка"",
  ""subcategory"": ""Веб-разработка"",
  ""skills"": [
    ""шаблоны сайтов"",
    ""интернет-магазины"",
    ""лендинги"",
    ""корпоративные сайты"",
    ""SEO"",
    ""адаптация дизайна"",
    ""интегра",
C_966008b4f697c45c5dd44919,Коммуникационные услуги,Написание текстов,,"['написание лекций', 'подготовка конспектов', 'написание рефератов']"
C_f30d0c1d3757c6b98fbbb62f,IT-разработка,Веб-разработка,,"['создание сайтов', 'доработка проектов', 'SEO-оптимизация', 'управление контентом']"
C_c8c55be7e7b1885d9827ea10,AI и машинное обучение,Креативное использование ИИ,,"['создание фото', 'создание видео', 'использование ИИ']"
C_b0b9ab242ed844b5ac6e0254,,,"{
  ""category"": ""Фотография"",
  ""subcategory"": ""Консультационные услуги по фотографии"",
  ""skills"": [
    ""репортажная съёмка"",
    ""портретная съёмка"",
    ""обработка фотографий"",
    ""цветокоррекция"",
    ""ретушь""",
C_7142b087688419bfea45aafb,Красота и здоровье,Маникюр и педикюр,,"['обучение маникюру', 'наращивание ресниц', 'методические пособия']"
C_cca99000af3a52d83757a41e,Дизайн,Маркетинговый дизайн,,"['социальные сети', 'инфографика', 'рекламные баннеры', 'адаптация под торговые площадки']"
C_aa66ed979a0e6895ebb7322b,Маркетинг,Контент-маркетинг,,"['копирайтинг', 'написание текстов', 'рерайтинг', 'социальные сети']"
C_32a979eb12c2cc5372186fd0,,,"{
  ""category"": ""Финансовый аудит и бухгалтерия"",
  ""subcategory"": ""Налоговое планирование и сопровождение"",
  ""skills"": [
    ""подготовка налоговых деклараций"",
    ""налоговое сопровождение"",
    ""вопросы налого",
C_a26a3afc9ef73efed54b73c7,Финансы,Кредитование,,"['анализ кредитной истории', 'корректировка кредитной истории', 'проверка данных в бюро кредитных историй', 'юридические методы']"
C_5d9840773a2da6d99f8056dc,Юридические услуги,Строительное право,,"['проверка документов', 'консультации', 'разработка стандартов']"
C_a9fd845f2600d3ad0aec0d9a,Архитектура и дизайн,Интерьерный дизайн,,"['планировка', '3D-визуализация', 'подбор материалов', 'рабочие чертежи']"
C_6168762344772260e22b81d9,Интерактивные медиа,3D-моделирование,,"['Blender', 'игры', 'анимация', 'визуализация']"
C_a996ae55fc24f00477d96800,Маркетинг,Контент-маркетинг,,"['подготовка документов', 'tworzenie презентаций', 'организация контента']"
C_0918787b03facc6ce292286e,Художественное образование,Живопись и композиция,,"['живопись', 'композиция', 'обучение техникам работы с материалом', 'разработка индивидуальных проектов']"
C_e0da80a04ccd541f2cc2f456,Красота и здоровье,Парикмахерское дело,,"['стрижки', 'окрашивание', 'биозавивка', 'уход за волосами']"
C_977a6dfd682f6cea3f70d96d,Маркетинг и коммуникации,Контент-маркетинг,,"['копирайтинг', 'фотография', 'работа с социальными сетями', 'tworship']"
C_a1d0673e44a8a58ea0cea7d8,Маркетинг,Исследования рынка,,"['исследования рынка', 'анализ конкурентов', 'формулировка гипотез', 'подготовка карты рынка']"
C_99c6636f6553c725ce4fa02c,Видеография,Аэросъемка и видеомонтаж,,"['аэросъемка', 'видеосъемка', 'монтаж видео']"
C_eddcd26d0a5b5c7dbcc237ab,Видеография,Видеосъемка и монтаж,,"['видеосъемка', 'монтаж видео', 'рекламное видео']"
C_3a2127d5b057bc408071d563,Юридические услуги,Семейное право,,"['юридические консультации', 'подготовка документов', 'раздел имущества', 'алименты', 'наследственные споры']"
C_ee3b0b46e6ac796662a080e3,Дизайн,Интерьерный дизайн,,"['чертежи', 'визуализация', 'оптимизация затрат', 'расстановка мебели', 'подбор материалов']"
C_7560864dd88bb11e11d008e1,,,"{
  ""category"": ""IT-разработка"",
  ""subcategory"": ""CRM-интеграция и автоматизация"",
  ""skills"": [
    ""CRM-системы"",
    ""Битрикс24"",
    ""автоматизация бизнес-процессов"",
    ""интеграция систем"",
    ""техническая поддержка""",
C_ccec7160c576245e62313507,Культурное производство,Артистическое гримирование,,"['грим', 'спецэффекты', 'техники грима', 'основы прически и костюма']"
C_062c02a40025bb959eb7670e,Корпоративные услуги,Подготовка документов,,"['подготовка текстовых документов', 'работа с источниками информации', 'ввод текста в Word', 'обработка таблиц', 'формулы и рисунки']"
C_92b67e0ce586ac6f22c13f97,Фотография,Детская фотография,,"['детская фотосессия', 'фотостудия', 'цветокоррекция']"
C_b4f316addaacd8efed009a36,Косметология и парикмахерское дело,Барберинг,,"['мужские стрижки', 'уход за бородой', 'обучение барберингу']"
C_d871d21f504bb63735d1d29e,IT-поддержка,Установка и настройка ПК,,"['установка ОС', 'настройка роутеров', 'установка драйверов']"
C_60ba42e6b038df854e9d0c8f,Юридические услуги,Правовая защита,,"['семейное право', 'жилищное право', 'гражданское право', 'консультации', 'составление документов', 'представление интересов в суде']"
C_2740a0d08da77ffa17e735f9,Маркетинг,Цифровое продвижение,,"['продвижение профилей', 'управление контентом', 'поиск объявлений']"
C_6e8a1bf1fadb2c84cc71cbc2,Корректорство и редактура,Техническая редактура,,"['подготовка текстов', 'конспекты', 'переписывание текстов']"
C_99e65d60ddb5fff9de749c42,Маркетинг,Цифровое маркетинг,,"['настройка рекламных кампаний', 'анализ эффективности', 'оптимизация рекламы', 'продвижение через цифровые каналы']"
C_4ded2c07b96eb482dd449d57,Финансовый анализ,Автоматизация процессов,,"['Excel', 'шаблоны', 'учёт финансов', 'планирование задач']"
