need_id,category,subcategory,task_summary
N_b8f9f29df9fe1ca227ecefa3,Дизайн,графический дизайн,создать письмо и открытку
N_25fdf462102b720a6d7e0b10,Дизайн,графический дизайн,разработать шаблон письма и наклейки
N_fb202f39d073b15820a30a5e,Дизайн,графический дизайн,создать дизайн пресс-волла и информационного стенда
N_a283a324c850475e7012eff5,Дизайн,графический дизайн,создание благодарностей и дипломов
N_67675c55e60275845a9d52c7,Дизайн,графический дизайн,создать флаер и листовку
N_f1aef77bbc6c333033400935,Дизайн,графический дизайн,создать плакаты
N_f9c90cb828072571f590c182,Дизайн,графический дизайн,создать дизайн карточек и блокнота
N_8883e8cc2425086211d74d7d,Дизайн,графический дизайн,создать письмо и брошюру
N_edf9d9de86d9d65a6d5aa629,Дизайн,корректировка текста,изменить текст на сертификатах
N_b7ee58b0dd6f8fe402dd4ce0,Дизайн,графический дизайн,создание благодарственных документов
N_aed26649e2563e2f02d38769,Дизайн,графический дизайн,создать печатную продукцию
N_0fd0cfbade8078e585ba0c1c,Дизайн,графический дизайн,создать дизайн баннера и плаката
N_ab6e9b050f9cdac47aef939a,Дизайн,графический дизайн,создать флаеры и чек-листы
N_e6339d39d5dc4b2d735ae0c5,Дизайн,графический дизайн,создать открытки
N_94607d2fbf0fead9b2e01f55,Дизайн,графический дизайн,создать макеты буклетов и дипломов
N_dae7f00c89e01e11dc0a0f50,Дизайн,графический дизайн,создать мерч и флаер
N_3b0ad4aaea67bfef22ca1fc0,Дизайн,графический дизайн,создание макета флайера и листовки
N_d834d0253f928133100e517f,Дизайн,графический дизайн,создание визитки и наклеек
N_8f142eb7bc2da8c5d3643962,Дизайн,графический дизайн,разработать листовку и диплом
N_84eae9a339e8e6eba788a726,Дизайн,графический дизайн,создать векторные файлы для пазла и баннера
N_0f639f271630263cd3519630,Дизайн,графический дизайн,создать макеты письма и баннера
N_d559bb4304d802a44db9909d,Дизайн,графический дизайн,создание макетов наклейки и рекламы
N_5b9c5fc98ec59e3596405ecd,Дизайн,графический дизайн,разработать макеты диплома и афиши
N_3c55a71845525ecfe7294566,Дизайн,графический дизайн,создать листовки и открытки
N_d66f29802a57e4d4dcea8abc,Дизайн,графический дизайн,разработать открытки и сертификаты
N_049db17dbaf58d67279c8fbf,Дизайн,графический дизайн,подготовить макет буклета
N_a3758621758aab82ba3bf7f3,Дизайн,графический дизайн,создать флаер и сертификаты
N_83be331109830131f678bdb7,Дизайн,графический дизайн,создать вертикальный баннер
N_1219eab0825945f1c3c8f55b,Дизайн,графический дизайн,переработка макета листовки
N_a1ef39c75065b5e173493ad8,Дизайн,графический дизайн,создать баннер и открытку
N_fd237cc8328f26e9fc117215,Дизайн,графический дизайн,создание благодарственных писем и открыток
N_e54a5d182fb42710c2f7ba08,Дизайн,графический дизайн,создать буклет и открытку
N_285bbb813c62fa3a8a5317bd,Дизайн,графический дизайн,создать благодарность и флаер
N_8e621d29cfae833c59311345,Дизайн,графический дизайн,создать бейджики и благодарственные письма
N_1023ba9626483b08f92287a6,Дизайн,графический дизайн,разработать письма и флайеры
N_3a03bac678807f6049a2eddc,Дизайн,графический дизайн,доработка и создание макетов
N_76f3a9393bd667e0d709b890,Дизайн,графический дизайн,создать баннер и письма
N_69cd1435e023e41b04053087,Дизайн,графический дизайн,создать макеты с логотипами
N_593122aa3c4f0df9582b70be,Дизайн,графический дизайн,создать правила игры и карточку посетителя
N_c39dba54c7c8e2d35424296d,Дизайн,графический дизайн,создать постер и наклейки
N_7b337cba661328c6e419adb7,Дизайн,графический дизайн,создать руководство и ролл-ап
N_07f3a67aad5636cf5a0b6d19,Дизайн,графический дизайн,разработать макеты писем и печатной продукции
N_52e8709e53893d33c39111b7,Дизайн,графический дизайн,создать дизайн визиток и бейджей
N_b0137a80dcfbb0bc488413db,Дизайн,графический дизайн,создать макеты стикеров и кроссворда
N_fbc7275b02f309c46890ba7c,Дизайн,графический дизайн,создать дизайн письма и баннера
N_eca94add0975b87fdac680d1,Дизайн,графический дизайн,создать чек-лист и памятку
N_e5934e833a0fc3befd1e5db1,Дизайн,графический дизайн,создать макеты для печати
N_782f28f7e2ecbe9418c21428,Дизайн,графический дизайн,создать макет для печати
N_09e6010006f401f8d2ef5f56,Дизайн,графический дизайн,создать макет для печати
N_da24c7e6431426f508385a04,Дизайн,графический дизайн,подготовка стикерпака и замена логотипа
N_35876a10e1f26b271f445dda,Дизайн,графический дизайн,создать макеты для печати
N_448a49493ee81caea7fb0b9e,Дизайн,графический дизайн,разработать дизайн обложки и плаката
N_c65cb171291eb39026e73a71,Дизайн,графический дизайн,создать дизайн карточек и печатной продукции
N_8f3d3ed4ed6abcf65d2a41f2,Дизайн,графический дизайн,создать шаблон сертификата и визитку
N_55cce48a4b5ea5b52d81be38,Дизайн,графический дизайн,создать письмо и открытку
N_ffe34966e9ba773714bb4e0a,Дизайн,графический дизайн,разработать буклет и тейбл-тент
N_70b8b58533a9ffa0a81d43c4,Дизайн,графический дизайн,создать наклейку и флаер
N_e5bf1c828baed285f4ff01a5,Дизайн,графический дизайн,верстка и дизайн открытки и буклета
N_928ffbeb936e007868e02269,Дизайн,графический дизайн,создать макеты дипломов и флаеров
N_5749966592a6bd08cfa787fb,Дизайн,графический дизайн,создать дизайн открытки и наклеек
N_ca07a7b4570089b410014cb1,Дизайн,графический дизайн,создать шаблон письма и дизайн сертификатов
N_1255d9001e441529db53b098,Дизайн,графический дизайн,создать макет благодарственного письма
N_cb30f8e9828093210729b867,Дизайн,графический дизайн,создать плакат и листовку
N_77aff832a375112246e951e0,Дизайн,графический дизайн,создать макеты календаря и тетради
N_b2512ea9515b496ab7a3689f,Дизайн,графический дизайн,создать макеты календаря и сертификата
N_bbc5eb7d47688b4132a0ce00,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт с разделом отчетов
N_72e710720127cf38a23951ca,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг
N_cb5f7a2c4a1b9a4de3f847ce,IT-разработка и цифровые сервисы,дизайн,подготовка текста для страницы
N_b61627bad67230ea00ee0e6d,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг для акции
N_a486a68b8218ce3a1ec76e89,IT-разработка и цифровые сервисы,разработка сайтов,создать интерактивные лендинги
N_2303ff6807953ce9b8b7474b,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт с пожертвованиями
N_26c7e976c8161488ab704d3c,IT-разработка и цифровые сервисы,разработка сайтов,создать сайт благотворительного фонда
N_2fe19c2872026bf89bde3627,IT-разработка и цифровые сервисы,графический дизайн,разработать дизайн сайта
N_fa7f77e905a0c0a9d74d7ba3,Дизайн,графический дизайн,разработать дизайн сайта
N_6bdd9168de9315497a75ee24,Дизайн,UX/UI-дизайн,проводить аудит и предложить улучшения
N_762faa0cf9b51230ab6b7765,IT-разработка и цифровые сервисы,разработка сайтов,разработать лендинг для некоммерческой организации
N_823ee05b6beeb18cb803e6d3,Дизайн,графический дизайн,создать графические элементы
N_1f7890b7f9f8b3290a732dbe,Дизайн,иллюстрации,создать иллюстрации и открытки
N_886fc53e704e1d6890d3bd7f,Дизайн,графический дизайн,создать эмодзи и стикеры
N_36fa53f530ca89944028dcad,Дизайн,графический дизайн,создать стикерпак и открытки
N_010d1cd4b3dabaa37f416f09,Дизайн,графический дизайн,создать открытки
N_4f2fe03257ed3577e4606545,Дизайн,иллюстрации,создать комиксы и доработать раскраску
N_328aa949622805cae4b03167,Юриспруденция,консультация,подготовка юридического документа
N_1305dad528ed3223f9b8b460,Юриспруденция,договорное право,подготовка юридического документа
N_bd6bc452b7de512ac41334c3,Юриспруденция,документальное сопровождение,подготовка юридического документа
N_f77f81216751d5dc5a443ea2,Юриспруденция,консультация,подготовка юридических документов
N_70715d02754701a0a5c06f57,Юриспруденция,корректура,проверка и редактирование договоров
N_178ca1bc97def4d8fb6e0994,Юриспруденция,юридическая консультация,подготовка юридического документа
N_ddbbda617ddff11c756799bc,Юриспруденция,пишущий перевод,подготовка юридического документа
N_8b79631b9cf58767555dc3eb,Юриспруденция,консультация,провести юридическую консультацию
N_ad7d1d47938b622390e84370,Юриспруденция,консультация,подготовить юридический документ
N_292b7d4403fbd7019657e4ad,Юриспруденция,консультация,подготовка юридического документа
N_9c9ec091be99fbe8646e7eb6,Юриспруденция,пишущий юрист,подготовка юридического документа
N_87a5d4c9b06bcdaff978c238,Юриспруденция,консультация,подготовка юридического документа
N_7f7f0b2d2c7e1bd70d825281,Юриспруденция,консультация,подготовка юридического документа
N_4c85d59618a7c68bfa9d0efd,Юриспруденция,юридическая консультация,подготовка юридического документа
N_af44c939a301a03916c18381,Юриспруденция,консультация,подготовка юридического документа
N_e59fd4d37a91be761fb9808a,Юриспруденция,письменный перевод,подготовка юридического документа
N_2246b28dbf02ff835290cc6e,Юриспруденция,консультация по трудовому праву,подготовить юридический документ
N_24355061d107d706588eda87,Юриспруденция,консультация,подготовка юридического заключения
N_aed5a48a80a948434122c418,Юриспруденция,консультация,подготовка юридического документа
N_5866928bc8d94844c2f9bbb9,Юриспруденция,пишущий юрист,подготовка юридического документа
N_937a3456412b6db6f736e489,Юриспруденция,юридическая консультация,подготовка заявления в ФАС
N_82c822cb44f3e10aaaa1fc5b,Юриспруденция,консультация,подготовка юридического документа
N_473242eb1b000853aa689c47,Юриспруденция,консультация,подготовка юридического документа
N_67397028c430dfb945f9bd2f,Юриспруденция,правовая экспертиза,рассмотреть договор и дать рекомендации
N_b44a21cfbf0941cacd4402e7,Юриспруденция,консультация,подготовка аналитического отчета
N_2eb6554c01f10347a7bdd171,Юриспруденция,консультация,подготовка юридического документа
N_7e5d9e6cbbc695a39ea1f06e,Юриспруденция,юридическая консультация,подготовка юридического документа
N_e27d2df16983388a39817832,Юриспруденция,консультация,подготовка юридического документа
N_4f1d5c5860a9402075669de6,Юриспруденция,консультация,подготовка юридического документа
N_5f9b408c46a199f2fd56994d,Юриспруденция,консультация,подготовка юридического документа
N_6de66545e3e795b7c67ee57a,Юриспруденция,консультация,подготовка юридического документа
N_7e6e14e3dc53067cdcc797d8,Юриспруденция,письменный перевод,подготовка юридического документа
N_0bacc27d074cbc10246bef80,Юриспруденция,письменный перевод,подготовка юридического документа
N_58667cf8cfac6493438afc0a,Юриспруденция,консультация,подготовка юридического документа
N_8c3f12daf850b50fd7da771d,Юриспруденция,консультация,оценка правовых вопросов
N_7d5aac8a78b72706e4327599,Юриспруденция,юридическая консультация,подготовка юридического документа
N_f49c78f3b27ae6de250373aa,Юриспруденция,консультация,подготовить юридический документ
N_fc6c692056d36fecb7456124,Юриспруденция,письменный перевод,подготовка юридического ответа
N_14434e02d21b9fc53dc606e8,Юриспруденция,консультация,подготовка юридического документа
N_e2cac23a1842c69b59e0c7b5,Юриспруденция,консультация,подготовка юридического документа
N_b11625c37466001fd447fa54,Юриспруденция,пишущий перевод,составление юридических документов
N_2fd0e55c87fbc7bfe7722737,Юриспруденция,консультация,подготовка юридического документа
N_a800a4d724543a9f2a592eb6,Юриспруденция,консультация,подготовить юридический документ
N_b243356573ca5d214635253f,Копирайтинг и редакция текста,копирайтинг,написание текста и чек-листа
N_9d028fd38e01243b02541dbf,копирайтинг и редакция текста,копирайтинг,написать тексты для новостей
N_e2f1252642fa712a1a1b8643,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг и сайт сбора пожертвований
N_c5a07232d8bb74385bcef1a3,Копирайтинг и редакция текста,SEO,Подготовка текстов
N_7581f8a1ef5ed9762bb2747d,копирайтинг и редакция текста,корректура,подготовка текстов
N_d057bb7aed0d800c004916f0,Копирайтинг и редакция текста,копирайтинг,создание текстового контента
N_87586e55297f51744ad094a1,Копирайтинг и редакция текста,корректура,вычитка текстов
N_e757b98c084b9e860362585e,копирайтинг и редакция текста,корректура,подготовка текстов для чек-листов
N_047578757993b3fc13e828b4,Копирайтинг и редакция текста,копирайтинг,создание постов в социальных сетях
N_ef271dcc026b7c877fa44cc5,копирайтинг и редакция текста,копирайтинг,подготовка текста для сбора средств
N_2728474d41bb80d3d0b33420,копирайтинг и редакция текста,копирайтинг,создание и редактирование текста
N_32681415309b575d6eec050b,копирайтинг и редакция текста,копирайтинг,написать текст для сайта и соцсетей
N_e23c15666393a83e532d542b,копирайтинг и редакция текста,копирайтинг,создание текста для фандрайзинговой рассылки
N_cd36196a9deb32e208a175a5,копирайтинг и редакция текста,корректура,подготовка и редактирование текстов
N_7fb6954415b7707688ca62e8,Копирайтинг и редакция текста,SEO,Подготовка и редактирование текстов
N_8b4eb9151d905f991b461199,Копирайтинг и редакция текста,корректура,вычитка статей
N_4a371f08815f6c625f0c6c2a,Копирайтинг и редакция текста,копирайтинг,создать слоган и текст для сбора средств
N_ea571b5d19f6fba34442b97b,Копирайтинг и редакция текста,копирайтинг,написать письмо донорам и историю
N_ef73c8567afa40d9dc7169c1,Копирайтинг и редакция текста,копирайтинг,создать пост в соцсети
N_3c09a6eea9e74b4e0df1b97e,копирайтинг и редакция текста,корректура,отредактировать текст сбора средств
N_fd834824d14acf52d798606c,Копирайтинг и редакция текста,копирайтинг,создать мотивационный пост
N_5386cd5c47d6e8fc5796541a,Копирайтинг и редакция текста,корректура,вычитать тексты
N_e7d8a9345e9f8b29ca87ddaf,копирайтинг и редакция текста,копирайтинг,написать тексты сбора средств
N_fe40da7ff4a9a9cb028a3dc6,Копирайтинг и редакция текста,копирайтинг,написать текст сбора помощи
N_bb19791bde23a44aa62e058f,Копирайтинг и редакция текста,копирайтинг,создать пост для соцсети
N_280fc089ce5f5e5f922b51cd,Копирайтинг и редакция текста,корректура,вычитка текста
N_e37b4faae9aa97e260d11c1b,Копирайтинг и редакция текста,копирайтинг,создать текст в формате чек-листа
N_cdd311da276be520fa9e3993,Копирайтинг и редакция текста,корректура,вычитка текста
N_97ac69196cbb69f7f34ff805,Копирайтинг и редакция текста,копирайтинг,написать текст о подопечном
N_02d9d5a9ea4362a32da96971,Копирайтинг и редакция текста,копирайтинг,создать чек-лист и тексты для соцсетей
N_3f8d80dd63bceaaf5f12899a,копирайтинг и редакция текста,копирайтинг,создать текст письма и историю
N_528e49d693cb2d474a00b2c8,копирайтинг и редакция текста,копирайтинг,создание и редактирование текстов
N_2a7fedf23820916377fc27cb,копирайтинг и редакция текста,копирайтинг,создать текст о подопечном
N_7e3e0302fa042035e736a3ed,копирайтинг и редакция текста,копирайтинг,создание историй и подборка приложений
N_0cf8c2fd906bc64c037972a7,Копирайтинг и редакция текста,корректура,вычитка текста
N_9d9174cac193603b27d6b3ea,копирайтинг и редакция текста,копирайтинг,подготовка текста для сайта и соцсетей
N_bb88188afd155eae22e2787e,копирайтинг и редакция текста,копирайтинг,создание текста для конкурса
N_a6e546de19dc6b0ef156e5fc,копирайтинг и редакция текста,копирайтинг,написание текстов о волонтерах
N_88a639123cc812ea45effa41,Копирайтинг и редакция текста,копирайтинг,создание текстов для соцсетей
N_c4a542ddeb085ade6c8fdc8e,копирайтинг и редакция текста,корректура,отредактировать тексты
N_603df1cf6053359bdd2d6d8d,Копирайтинг и редакция текста,копирайтинг,написание и редактирование текстов
N_6b3218da2ab9c301e0856b0b,копирайтинг и редакция текста,тексты для соцсетей,создание текста для плаката и постов
N_c9b1ca1ee5a9112cb2bdf523,копирайтинг и редакция текста,копирайтинг,написать тексты новостей
N_6469a6cddf6d2e4e0679b5d1,копирайтинг и редакция текста,корректура,вычитка и перепись текстов
N_2afdb6284932c62932e59046,копирайтинг и редакция текста,копирайтинг,создание текста о животных
N_9bfa3e411c6b4f626d898606,Копирайтинг и редакция текста,копирайтинг,подготовка историй для фандрайзинга
N_ee3b17dedee7e69070e1a129,Юриспруденция,юридическое сопровождение,подготовка юридического документа
N_f4daa72de57059222dbaf24b,Копирайтинг и редакция текста,копирайтинг,создание слоганов и текстов
N_9696806dd4bad427d3577149,Копирайтинг и редакция текста,копирайтинг,подготовка и редактирование текстов
N_9d46a663ab9435c61311e742,Копирайтинг и редакция текста,копирайтинг,создание постов для соцсетей
N_41a41776af5ff6b13756efc8,копирайтинг и редакция текста,корректура,подготовить и отредактировать тексты
N_0cb0f913b4cb255c0c7545ba,"Маркетинг (SMM, реклама, продвижение)",SMM,создание постов для соцсетей
N_ac01447765f87e4ad94687dd,Копирайтинг и редакция текста,копирайтинг,подготовка и редактирование текста
N_502b74500a410c7098ec9d27,копирайтинг и редакция текста,копирайтинг,создание текста сбора средств
N_16937ebb6ad2f7f505860ae2,Копирайтинг и редакция текста,корректура,вычитка текстов
N_dc429776ac101b75dae432fc,копирайтинг и редакция текста,копирайтинг,написать и отредактировать текст
N_bcf7320c0d6f77229cb5ebdf,копирайтинг и редакция текста,копирайтинг,создание и редактирование текста
N_e43b44637d2358c9a852951a,копирайтинг и редакция текста,копирайтинг,создание статей и гайдов
N_27938d483c549586f29d53b6,Копирайтинг и редакция текста,копирайтинг,создание и редактирование текстов
N_2fb88915c58076099bbc7a0c,Копирайтинг и редакция текста,копирайтинг,написать тексты для новостей и писем
N_b60fd7d2ead97594ed37443b,копирайтинг и редакция текста,копирайтинг,написание текста для чек-листа
N_819274ac925fca2bc12c5392,Копирайтинг и редакция текста,копирайтинг,написать и отредактировать тексты
N_3c7ba7c783b7fe79675642c2,Копирайтинг и редакция текста,корректура,вычитать текст
N_618ff1f6560f1c7104562794,Копирайтинг и редакция текста,копирайтинг,переписать и оптимизировать тексты
N_d701384f67e80aca9282dfac,копирайтинг и редакция текста,корректура,подготовка и редактирование текстов
N_386441a1785c4eb4e2ad7f65,Копирайтинг и редакция текста,корректура,вычитка текстов
N_b4a8f571007a0055c12023e9,Копирайтинг и редакция текста,копирайтинг,подготовить тексты для письма и новости
N_3e9999cce734d2cfdce2a787,копирайтинг и редакция текста,копирайтинг,создание текстов для соцсетей
N_b94df829c457e95aa285657a,Копирайтинг и редакция текста,копирайтинг,создание поста в соцсети
N_698e79301c473558e568b07c,копирайтинг и редакция текста,копирайтинг,создание уникального текста
N_f94e81d7cdc0019e8238aa03,Копирайтинг и редакция текста,копирайтинг,подготовка текстов для отчета и статьи
N_b645bf7b81213a92996945aa,копирайтинг и редакция текста,фандрайзинг,создать текст рассылки
N_2be93edc24a9826afeb7fdde,копирайтинг и редакция текста,корректура,подготовка и редактирование текстов
N_e825481477f65b8e0d4f1747,копирайтинг и редакция текста,корректура,написание и редактирование историй
N_49209f50451ef8c25b2feeb8,копирайтинг и редакция текста,копирайтинг,подготовка текста для сбора пожертвований
N_1861bc6068f714bd3fdfa3f8,IT-разработка и цифровые сервисы,разработка сайтов,создание сайта и постов
N_6267b19a3a93662b42487c8b,копирайтинг и редакция текста,тексты для листовок,создание текста для листовки
N_883d84a401aa9627c9ad6423,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка контент-стратегии
N_34b3c81a0bfce96dbba414b5,копирайтинг и редакция текста,копирайтинг,написание текстов для донорской рассылки
N_1f719b8471e2d4136ffa7cf3,"Маркетинг (SMM, реклама, продвижение)",SMM,Анализ и улучшение стратегии соцсетей
N_3647edb8ced4012899810e5a,Копирайтинг и редакция текста,копирайтинг,подготовка эмоциональных историй
N_66efe56d0a77301e386bf54e,Копирайтинг и редакция текста,копирайтинг,разработать концепцию и написать статью
N_906624adbb34a0631f9a6495,"Маркетинг (SMM, реклама, продвижение)",копирайтинг,написать истории и разработать стратегию
N_188a6cd9c3a28e7b77accc3d,Копирайтинг и редакция текста,копирайтинг,расшифровка интервью и создание слоганов
N_887413367ab316224e612afb,Переводы,письменный перевод,перевести и адаптировать текст
N_8f825fca7d526282997ee7e8,IT-разработка и цифровые сервисы,SEO-оптимизация,Оптимизация сайта для поисковиков
N_6f3d6d517d749d38a3ec8b14,Копирайтинг и редакция текста,копирайтинг,написание статей и историй
N_2620740a96d2791070b0ba24,Копирайтинг и редакция текста,копирайтинг,настройка email-рассылки и написание текста
N_e39bcdd233601078ab689067,IT-разработка и цифровые сервисы,разработка сайтов,создать лендинг и тексты
N_eb0a4c2ad31a5dc321721102,копирайтинг и редакция текста,креативный контент,создание предсказаний и слогана
N_53db50fc00e0882d4953ef81,Копирайтинг и редакция текста,копирайтинг,подготовка текста для гранта
N_49a2e1540f63c99be05ddfe6,Копирайтинг и редакция текста,копирайтинг,создание текстов для сбора средств
N_59350e2ffa29f052e15ed33e,Копирайтинг и редакция текста,копирайтинг,подготовка и редактирование текстов
N_f4b7dce94ecdc9d50379b3af,"Маркетинг (SMM, реклама, продвижение)",email-маркетинг,настройка и обучение
N_fc59d4072bbb9079e123ea8d,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка стратегии продвижения
N_4fe7d9d81b05e1e64c52eef9,Копирайтинг и редакция текста,копирайтинг,подготовка текстов для соцсетей
N_0fb81f9237ecbb9e69453a5f,Копирайтинг и редакция текста,копирайтинг,"расшифровка интервью, написание текстов"
N_4924aac48dca8a3e1dc01107,копирайтинг и редакция текста,копирайтинг,создание поздравительного письма и статьи
N_a86da194c63c881fe6393b93,Копирайтинг и редакция текста,копирайтинг,разработка и редактирование текстов
N_83a86d510a7ba44e22eb3aa4,Копирайтинг и редакция текста,копирайтинг,создание текстов для презентации и статьи
N_6109f9229b6a28922d69468f,"Маркетинг (SMM, реклама, продвижение)",Google Ads,Настройка рекламной кампании
N_0084a2e99bee2145e45cbec9,Копирайтинг и редакция текста,копирайтинг,создание мотивирующих текстов
N_cd4e516fa4cab0585b447f7d,Копирайтинг и редакция текста,копирайтинг,создание и доработка текстов
N_757ef7adbd33bf079636ae87,Копирайтинг и редакция текста,копирайтинг,подготовка текстов для соцсетей
N_4919da165e3700c5f027c497,копирайтинг и редакция текста,копирайтинг,создать текст для презентации
N_f2814b07a5f0fb9e45108bb0,"Маркетинг (SMM, реклама, продвижение)",SMM,Провести анализ аудитории
N_d12b39fb7117a60a1f60cf4a,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать стратегию взаимодействия
N_a8497bf7b7a36a058f5bbd46,IT-разработка и цифровые сервисы,разработка видео,создать сценарий и историю
N_cfba65b247e1162b9e4ccc97,Копирайтинг и редакция текста,копирайтинг,создание текстов для онлайн-каналов
N_faa6dd68972e08c47a970a29,Копирайтинг и редакция текста,копирайтинг,создать опросы и акцию
N_bf114506b546a1a446bb377c,"Маркетинг (SMM, реклама, продвижение)",SMM,создание рекламных кампаний
N_36b1e5edc2e035345d7b73d0,Копирайтинг и редакция текста,копирайтинг,подготовка и редактирование текстов
N_74092277738ea4f6a690b91f,Дизайн,копирайтинг,подготовить тексты и создать презентацию
N_6befb28d2e96206fd2b8a4f2,"Маркетинг (SMM, реклама, продвижение)",SMM,провести анализ социальных сетей
N_b92d4ba80075f2411925ffc9,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка концепции онлайн-акции
N_8d7e74dfb201fca1a3118ac4,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка контент-плана для соцсетей
N_b4d5c47cb43a4e89394e6888,Копирайтинг и редакция текста,копирайтинг,подготовка текстов для соцсетей
N_88a7545ef1bb2554bfe808a7,"Маркетинг (SMM, реклама, продвижение)",копирайтинг,подготовка и редактирование текстов
N_3597ca873eb237eebdf59266,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка SMM-стратегии
N_77ebc809c64b8c45f4641f96,Копирайтинг и редакция текста,копирайтинг,написание текстов для книги-раскраски
N_08da6bfed65ee257bc8b8bd4,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать стратегию продвижения
N_98ee56d5077caf27cf577a75,Копирайтинг и редакция текста,копирайтинг,разработать слоганы и текст истории
N_c039dc24f7a3f3bceae553c1,"Маркетинг (SMM, реклама, продвижение)",SEO,настройка контекстной рекламы
N_56a0fc234c54d9f70d1cf777,Копирайтинг и редакция текста,корректура,редактирование текстов
N_4ae4ced3af3a6dfae03e877d,Копирайтинг и редакция текста,копирайтинг,подготовка историй и слогана
N_7d4ed39589923503f993feea,Копирайтинг и редакция текста,копирайтинг,создать развлекательный текст
N_cb3d84b40cac1696ce7b10d5,копирайтинг и редакция текста,копирайтинг,создание и редактирование текстов
N_af1f5c85dd56305d6e5fe658,IT-разработка и цифровые сервисы,SEO,разработать стратегию позиционирования
N_7c8aecb18c58a9397f076ebd,"Маркетинг (SMM, реклама, продвижение)",рекламная кампания,разработать и запустить рекламу
N_b9dd2104b8a80ccded4e4399,копирайтинг и редакция текста,корректура,редактирование текстов
N_b49d016f5779586585730e21,"Маркетинг (SMM, реклама, продвижение)",PR-стратегия,создать контент и план PR
N_1ae049c5fd1cb1bcda6c018b,"Маркетинг (SMM, реклама, продвижение)",SMM,оптимизация группы в соцсети
N_316ce644db2250001fc56f1d,"Маркетинг (SMM, реклама, продвижение)",фандрайзинг,разработать концепцию мероприятия
N_caf91dec14b6359e912cd95d,Копирайтинг и редакция текста,копирайтинг,создание текста для сбора средств
N_907f9dd36ab371e62927acea,"Маркетинг (SMM, реклама, продвижение)",YouTube-реклама,Настройка рекламной кампании на YouTube
N_eff704fe4cba48652f9eac86,Копирайтинг и редакция текста,копирайтинг,создать статью для сайта
N_3616351efaa44add1cef9273,Копирайтинг и редакция текста,копирайтинг,подготовка текстов для соцсетей
N_5a1d8301007547ef8148251c,Копирайтинг и редакция текста,копирайтинг,создание постов в социальные сети
N_b1fe4d5a10ad4d2b2cd6c950,Дизайн,графический дизайн,разработать концепцию и дизайн-макет
N_66da682a0a3d2b093578bf28,копирайтинг и редакция текста,фандрайзинг,создание текстов для постов
N_ecd68b8dbdbe50236caaa9e0,"Маркетинг (SMM, реклама, продвижение)",SMM,разработка стратегии продвижения
N_834354184e066e84688168dc,Копирайтинг и редакция текста,копирайтинг,написание статьи и текста для лифлета
N_059226a27b0a091276ee413e,копирайтинг и редакция текста,копирайтинг,создание текста для сбора средств
N_6bfb7b1207f06b16fb32da0d,Копирайтинг и редакция текста,копирайтинг,создание и редактирование текстов
N_d54c3bc52ce37f36b442428c,"Маркетинг (SMM, реклама, продвижение)",копирайтинг,создание постов в соцсетях
N_34e79a0627eed6a65ceed4a5,Копирайтинг и редакция текста,копирайтинг,создание текстов для сбора средств
N_55face8973e5e464a5fe2610,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать SMM-стратегию
N_2ca8deae12195fb4086f1312,Дизайн,videomontazh,разработать концепцию видеоролика
N_df2f5feb1936d71cc6ba8a2a,копирайтинг и редакция текста,копирайтинг,создать тексты об истории наставничества
N_e7fa4c21a85dc28556d31ec5,"Маркетинг (SMM, реклама, продвижение)",копирайтинг,придумать названия категорий и приложения
N_641cb9edd43356bc5a1d6a11,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать рекламную кампанию в соцсетях
N_8c81639e547b836a0d54ed2d,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать SMM-стратегию
N_289611890d600337943cfbd4,Копирайтинг и редакция текста,копирайтинг,создать текст для сбора пожертвований
N_a132c53de19d20ea1a6cc10d,"Маркетинг (SMM, реклама, продвижение)",SMM,разработать акцию и контент-план
N_7c859519f4ea82d07ec26792,"Маркетинг (SMM, реклама, продвижение)",SEO,создать текст и план продвижения
N_84e73bc075c7fd97d781cc8a,"Маркетинг (SMM, реклама, продвижение)",создание контента,создать посты и сценарии видео
N_b321954c753c0d8bfe3cb68d,"Маркетинг (SMM, реклама, продвижение)",стратегическое планирование,составить стратегию развития
N_a29f93549de9dcaf97f6be75,IT-разработка и цифровые сервисы,разработка программ,разработать программное решение
N_ff0e3492d6a9b97415b4f31a,"Фото и видеосъемка, монтаж",видеомонтаж,создать короткий видеоролик
N_7fb11c3ca6eaecfe98a68492,"Фото и видеосъемка, монтаж",видеомонтаж,создание видеороликов из вебинаров
N_22bd455b99c17ebbb1fe1686,"Фото и видеосъемка, монтаж",videomontazh,создать тизеры и презентационный ролик
